S.No,Disease_ID,Disease Name,Symptoms,Causes,Treatment,Prevention,Associated_Medicine
1,D1047,Anemia,"Fatigue, pale skin, shortness of breath, dizziness","Iron deficiency, blood loss, chronic disease","Iron supplements, dietary changes, blood transfusion","Iron-rich diet, treat underlying cause","Insulin"
2,D1093,Anxiety Disorder,"Excessive worry, restlessness, rapid heartbeat","Genetics, brain chemistry, stress","Therapy, anti-anxiety medication","Relaxation techniques, limit caffeine","Amlodipine"
3,D1088,Arthritis,"Joint pain, stiffness, swelling","Autoimmune disorder, wear and tear, age","NSAIDs, physiotherapy, corticosteroids","Regular exercise, healthy weight","Ibuprofen"
4,D1033,Asthma,"Wheezing, shortness of breath, chest tightness, coughing","Allergens, air pollution, genetics","Inhalers, bronchodilators, corticosteroids","Avoid triggers, use air purifiers","Insulin"
5,D1012,Bronchitis,"Persistent cough, mucus, fatigue, chest discomfort","Viral infection, smoking, air pollution","Rest, fluids, cough suppressants","Avoid smoking, air pollution","Omeprazole"
6,D1045,Chickenpox,"Itchy rash, fever, tiredness, loss of appetite","Varicella-zoster virus","Antihistamines, calamine lotion, rest","Varicella vaccine","Doxycycline"
7,D1029,Chikungunya,"Joint pain, fever, rash, headache","Chikungunya virus via mosquito bite","Pain relievers, rest, fluids","Mosquito control, protective clothing","Ranitidine"
8,D1091,Chronic Kidney Disease,"Swelling in legs, fatigue, poor appetite","Diabetes, hypertension, prolonged NSAID use","Dialysis, kidney transplant, medication","Control blood sugar and pressure, hydration","Ciprofloxacin"
9,D1102,Common Cold,"Runny nose, sore throat, sneezing, cough","Rhinovirus infection","Rest, fluids, decongestants","Hand washing, avoid close contact with sick people","Diclofenac"
10,D1050,Conjunctivitis,"Red eyes, itching, watery discharge","Viral or bacterial infection, allergens","Antibiotic eye drops, cold compress","Avoid touching eyes, hand hygiene","Not Available"
11,D1006,Dengue Fever,"High fever, severe headache, joint pain, rash","Dengue virus via Aedes mosquito","Supportive care, fluids, pain relievers (avoid aspirin)","Eliminate stagnant water, mosquito control","Metformin"
12,D1027,Depression,"Persistent sadness, loss of interest, fatigue","Chemical imbalance, genetics, life events","Counseling, antidepressants, therapy","Social support, regular exercise, stress management","Azithromycin"
13,D1080,Diabetes Mellitus,"Frequent urination, excessive thirst, fatigue, blurred vision","Insulin resistance, genetic factors, obesity","Insulin therapy, metformin, lifestyle changes","Healthy diet, regular exercise, weight management","Not Available"
14,D1009,Eczema,"Itchy, red, dry skin patches","Allergens, genetics, irritants","Moisturizers, corticosteroid creams","Avoid irritants, keep skin moisturized","Not Available"
15,D1043,Gastroenteritis,"Diarrhea, vomiting, abdominal cramps","Viral or bacterial infection, contaminated food","Oral rehydration, rest, antibiotics if bacterial","Hand hygiene, safe food handling","Aspirin"
16,D1059,Hepatitis B,"Fatigue, abdominal pain, jaundice, dark urine","Hepatitis B virus, blood/body fluid contact","Antiviral medication, liver support","Vaccination, avoid unsafe needles","Not Available"
17,D1053,Hypertension,"Headache, dizziness, nosebleeds, shortness of breath","High salt intake, stress, genetics, obesity","ACE inhibitors, beta blockers, diuretics","Reduce salt intake, exercise, stress management","Not Available"
18,D1075,Influenza,"Fever, body ache, cough, fatigue","Influenza virus","Antiviral drugs, rest, fluids","Annual flu vaccine, hand hygiene","Not Available"
19,D1030,Jaundice,"Yellow skin/eyes, dark urine, fatigue","Liver disease, hepatitis, bile duct obstruction","Treat underlying cause, hydration","Vaccination against hepatitis, safe food and water","Not Available"
20,D1036,Malaria,"Fever, chills, sweating, headache, nausea","Plasmodium parasite via mosquito bite","Antimalarial drugs like chloroquine, artemisinin","Mosquito nets, insect repellent, antimalarial prophylaxis","Not Available"
21,D1010,Measles,"Fever, cough, runny nose, red rash","Measles virus","Supportive care, vitamin A","MMR vaccination","Paracetamol"
22,D1020,Migraine,"Severe headache, nausea, sensitivity to light","Stress, hormonal changes, certain foods","Pain relievers, triptans, preventive medication","Avoid triggers, regular sleep, stress reduction","Not Available"
23,D1041,Obesity,"Excess body fat, breathlessness, joint pain","Overeating, sedentary lifestyle, genetics","Diet control, exercise, bariatric surgery","Balanced diet, physical activity","Losartan"
24,D1022,Osteoporosis,"Bone fragility, fractures, back pain","Aging, calcium deficiency, hormonal changes","Calcium/vitamin D supplements, medication","Weight-bearing exercise, calcium-rich diet","Insulin"
25,D1092,Peptic Ulcer,"Abdominal pain, bloating, nausea","H. pylori infection, NSAID overuse","Antibiotics, proton pump inhibitors","Avoid NSAIDs, limit alcohol and smoking","Doxycycline"
26,D1054,Pneumonia,"Cough with phlegm, fever, chest pain, difficulty breathing","Bacterial or viral infection of lungs","Antibiotics, oxygen therapy, rest","Vaccination, avoid smoking","Diclofenac"
27,D1104,Psoriasis,"Red patches with silvery scales, itching","Autoimmune condition, genetics","Topical treatments, phototherapy","Avoid triggers like stress, skin injury","Aspirin"
28,D1002,Tuberculosis,"Persistent cough, weight loss, night sweats, fever","Mycobacterium tuberculosis bacteria","Antibiotics (isoniazid, rifampicin) for 6 months","BCG vaccination, avoid close contact with patients","Doxycycline"
29,D1044,Typhoid Fever,"Prolonged fever, weakness, stomach pain, headache","Salmonella typhi bacteria, contaminated food/water","Antibiotics like ciprofloxacin, azithromycin","Safe drinking water, vaccination, hygiene","Ibuprofen"
30,D1007,Urinary Tract Infection,"Burning urination, frequent urge to urinate, cloudy urine","Bacterial infection of urinary tract","Antibiotics, increased fluid intake","Good hygiene, drink plenty of water","Ciprofloxacin"
